interest,topic,difficulty,learning_step_order,learning_step,description,domain_id
Mobile Development,Advanced Animations (Lottie) Implementation,Intermediate,89,Advanced Animations (Lottie) Implementation,"Master Animations (Lottie) to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Background Tasks Implementation,Intermediate,90,Advanced Background Tasks Implementation,"Master Background Tasks to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Deep Linking Implementation,Intermediate,91,Advanced Deep Linking Implementation,"Master Deep Linking to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Biometric Auth Implementation,Intermediate,92,Advanced Biometric Auth Implementation,"Master Biometric Auth to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Payment Integration Implementation,Intermediate,93,Advanced Payment Integration Implementation,"Master Payment Integration to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Offline Sync Implementation,Intermediate,94,Advanced Offline Sync Implementation,"Master Offline Sync to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced App Performance Profiling Implementation,Intermediate,95,Advanced App Performance Profiling Implementation,"Master App Performance Profiling to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",2
Mobile Development,Advanced Native Performance Implementation,Intermediate,96,Advanced Native Performance Implementation,"Master Native Performance to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",2
Mobile Development,Advanced Platform Channels Implementation,Intermediate,97,Advanced Platform Channels Implementation,"Master Platform Channels to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",2
Mobile Development,Advanced State Management (Riverpod) Implementation,Intermediate,98,Advanced State Management (Riverpod) Implementation,"Master State Management (Riverpod) to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",2
Mobile Development,Advanced Animations (Lottie) Implementation,Intermediate,99,Advanced Animations (Lottie) Implementation,"Master Animations (Lottie) to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",2
Mobile Development,Advanced Background Tasks Implementation,Intermediate,100,Advanced Background Tasks Implementation,"Master Background Tasks to build robust, industry-level Mobile Development projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",2
Cloud Computing,Intro to Cloud,Beginner,1,Intro to Cloud,"Understanding IaaS, PaaS, and SaaS models.",3
Cloud Computing,AWS Core Services,Beginner,2,AWS Core Services,"Mastering EC2, S3, and RDS for basic cloud infrastructure.",3
Cloud Computing,Azure Fundamentals,Beginner,3,Azure Fundamentals,Introduction to Microsoft's cloud platform and services.,3
Cloud Computing,Google Cloud Platform,Beginner,4,Google Cloud Platform,Building and deploying apps on GCP.,3
Cloud Computing,Serverless Architecture,Beginner,5,Serverless Architecture,Using AWS Lambda and Cloud Functions for event-driven computing.,3
Cloud Computing,Containers & Docker,Beginner,6,Containers & Docker,Packaging applications for consistent deployment across environments.,3
Cloud Computing,Kubernetes Orchestration,Beginner,7,Kubernetes Orchestration,Managing containerized applications at scale.,3
Cloud Computing,Cloud Storage Patterns,Beginner,8,Cloud Storage Patterns,"Choosing between object, block, and file storage.",3
Cloud Computing,Identity & Access Management,Beginner,9,Identity & Access Management,Managing users and permissions with IAM roles.,3
Cloud Computing,DevOps & CI/CD,Beginner,10,DevOps & CI/CD,Automating deployments using cloud-native tools.,3
Cloud Computing,Multi-cloud Strategy,Beginner,11,Multi-cloud Strategy,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Cloud Cost Optimization,Beginner,12,Cloud Cost Optimization,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Infrastructure Compliance,Beginner,13,Infrastructure Compliance,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Disaster Recovery Testing,Beginner,14,Disaster Recovery Testing,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Kubernetes Networking,Beginner,15,Kubernetes Networking,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Service Mesh (Istio),Foundational,16,Service Mesh (Istio),"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Edge Computing Basics,Foundational,17,Edge Computing Basics,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Hybrid Cloud Connectivity,Foundational,18,Hybrid Cloud Connectivity,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Global Traffic Management,Foundational,19,Global Traffic Management,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Cloud Data Governance,Foundational,20,Cloud Data Governance,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",3
Cloud Computing,Deep Dive: Multi-cloud Strategy,Foundational,21,Deep Dive: Multi-cloud Strategy,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Cloud Cost Optimization,Foundational,22,Deep Dive: Cloud Cost Optimization,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Infrastructure Compliance,Foundational,23,Deep Dive: Infrastructure Compliance,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Disaster Recovery Testing,Foundational,24,Deep Dive: Disaster Recovery Testing,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Kubernetes Networking,Foundational,25,Deep Dive: Kubernetes Networking,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Service Mesh (Istio),Foundational,26,Deep Dive: Service Mesh (Istio),"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Edge Computing Basics,Foundational,27,Deep Dive: Edge Computing Basics,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Hybrid Cloud Connectivity,Foundational,28,Deep Dive: Hybrid Cloud Connectivity,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Global Traffic Management,Foundational,29,Deep Dive: Global Traffic Management,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Deep Dive: Cloud Data Governance,Foundational,30,Deep Dive: Cloud Data Governance,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 2 specialization.",3
Cloud Computing,Expert Multi-cloud Strategy Patterns,Foundational,31,Expert Multi-cloud Strategy Patterns,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Cloud Cost Optimization Patterns,Foundational,32,Expert Cloud Cost Optimization Patterns,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Infrastructure Compliance Patterns,Foundational,33,Expert Infrastructure Compliance Patterns,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Disaster Recovery Testing Patterns,Foundational,34,Expert Disaster Recovery Testing Patterns,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Kubernetes Networking Patterns,Foundational,35,Expert Kubernetes Networking Patterns,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Service Mesh (Istio) Patterns,Intermediate,36,Expert Service Mesh (Istio) Patterns,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Edge Computing Basics Patterns,Intermediate,37,Expert Edge Computing Basics Patterns,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Hybrid Cloud Connectivity Patterns,Intermediate,38,Expert Hybrid Cloud Connectivity Patterns,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Global Traffic Management Patterns,Intermediate,39,Expert Global Traffic Management Patterns,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Expert Cloud Data Governance Patterns,Intermediate,40,Expert Cloud Data Governance Patterns,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 3 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,41,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,42,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,43,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,44,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,45,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,46,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,47,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,48,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,49,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,50,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 4 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,51,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,52,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,53,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,54,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,55,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,56,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,57,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,58,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,59,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,60,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 5 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,61,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,62,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,63,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,64,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,65,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,66,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,67,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,68,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,69,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,70,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 6 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,71,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,72,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,73,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,74,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,75,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,76,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,77,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,78,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,79,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,80,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 7 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,81,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,82,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,83,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,84,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,85,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,86,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,87,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,88,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,89,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,90,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 8 specialization.",3
Cloud Computing,Advanced Multi-cloud Strategy Implementation,Intermediate,91,Advanced Multi-cloud Strategy Implementation,"Master Multi-cloud Strategy to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Cloud Cost Optimization Implementation,Intermediate,92,Advanced Cloud Cost Optimization Implementation,"Master Cloud Cost Optimization to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Infrastructure Compliance Implementation,Intermediate,93,Advanced Infrastructure Compliance Implementation,"Master Infrastructure Compliance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Disaster Recovery Testing Implementation,Intermediate,94,Advanced Disaster Recovery Testing Implementation,"Master Disaster Recovery Testing to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Kubernetes Networking Implementation,Intermediate,95,Advanced Kubernetes Networking Implementation,"Master Kubernetes Networking to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Service Mesh (Istio) Implementation,Intermediate,96,Advanced Service Mesh (Istio) Implementation,"Master Service Mesh (Istio) to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Edge Computing Basics Implementation,Intermediate,97,Advanced Edge Computing Basics Implementation,"Master Edge Computing Basics to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Hybrid Cloud Connectivity Implementation,Intermediate,98,Advanced Hybrid Cloud Connectivity Implementation,"Master Hybrid Cloud Connectivity to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Global Traffic Management Implementation,Intermediate,99,Advanced Global Traffic Management Implementation,"Master Global Traffic Management to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cloud Computing,Advanced Cloud Data Governance Implementation,Intermediate,100,Advanced Cloud Data Governance Implementation,"Master Cloud Data Governance to build robust, industry-level Cloud Computing projects. This module covers advanced techniques and real-world deployment strategies. Level 9 specialization.",3
Cybersecurity,Intro to Cybersecurity,Beginner,1,Intro to Cybersecurity,"The CIA triad: Confidentiality, Integrity, and Availability.",4
Cybersecurity,Networking Basics,Beginner,2,Networking Basics,"Understanding TCP/IP, DNS, and how data moves across the internet.",4
Cybersecurity,Linux for Hackers,Beginner,3,Linux for Hackers,"Mastering the command line, permissions, and bash scripting.",4
Cybersecurity,Web Vulnerabilities (OWASP),Beginner,4,Web Vulnerabilities (OWASP),"Learning about SQL Injection, XSS, and Cross-Site Request Forgery.",4
Cybersecurity,Cryptography Basics,Beginner,5,Cryptography Basics,Understanding symmetric vs asymmetric encryption and hashing.,4
Cybersecurity,Ethical Hacking Tools,Beginner,6,Ethical Hacking Tools,"Introduction to Nmap, Metasploit, and Burp Suite.",4
Cybersecurity,Network Security,Beginner,7,Network Security,"Configuring firewalls, VPNs, and intrusion detection systems.",4
Cybersecurity,Social Engineering,Beginner,8,Social Engineering,"Understanding phishing, baiting, and psychological manipulation.",4
Cybersecurity,Incident Response,Beginner,9,Incident Response,How to react and recover from a security breach.,4
Cybersecurity,Cloud Security,Beginner,10,Cloud Security,"Securing AWS, Azure, and Google Cloud environments.",4
Cybersecurity,Pentesting Methodologies,Beginner,11,Pentesting Methodologies,"Master Pentesting Methodologies to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Malware Analysis,Beginner,12,Malware Analysis,"Master Malware Analysis to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Forensics Basics,Beginner,13,Forensics Basics,"Master Forensics Basics to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Kernel Exploitation,Beginner,14,Kernel Exploitation,"Master Kernel Exploitation to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Wireless Security,Beginner,15,Wireless Security,"Master Wireless Security to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Active Directory Hacking,Foundational,16,Active Directory Hacking,"Master Active Directory Hacking to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Bug Bounty Hunting,Foundational,17,Bug Bounty Hunting,"Master Bug Bounty Hunting to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Cloud Threat Modeling,Foundational,18,Cloud Threat Modeling,"Master Cloud Threat Modeling to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
Cybersecurity,Zero Trust Architecture,Foundational,19,Zero Trust Architecture,"Master Zero Trust Architecture to build robust, industry-level Cybersecurity projects. This module covers advanced techniques and real-world deployment strategies. Level 1 specialization.",4
